year,quarter,total_biomass,total_area,baseline_avg,baseline_sd,deviation,area
1990,3,257490564,32025046,16179063.416666666,6406654.686511673,2.473362988752127,central
1991,3,142493775,18825272,16179063.416666666,6406654.686511673,0.4130406136769882,central
1992,3,176752645,23096471,16179063.416666666,6406654.686511673,1.0797222453548152,central
1993,3,90677171,11861591,16179063.416666666,6406654.686511673,-0.6739043428946636,central
1994,3,153629989,19281491,16179063.416666666,6406654.686511673,0.48425078845985986,central
1995,3,82085685,10064550,16179063.416666666,6406654.686511673,-0.9544003408736746,central
1996,3,56710616,7225370,16179063.416666666,6406654.686511673,-1.3975614193031867,central
1997,3,114190409,14550718,16179063.416666666,6406654.686511673,-0.25416469223710814,central
1998,3,15802571,2116778,16179063.416666666,6406654.686511673,-2.1949497990383136,central
1999,3,127192162,15980988,16179063.416666666,6406654.686511673,-0.0309171363775367,central
2000,3,96084917,12351278,16179063.416666666,6406654.686511673,-0.5974702249405669,central
2001,3,147107080,18863628,16179063.416666666,6406654.686511673,0.41902751352984796,central
2002,3,154193533,20220151,16179063.416666666,6406654.686511673,0.6307640697166473,central
2003,3,96461904,12815284,16179063.416666666,6406654.686511673,-0.5250445952313677,central
2004,3,160044866,20180000,16179063.416666666,6406654.686511673,0.6244969924408059,central
2005,3,156435729,19722947,16179063.416666666,6406654.686511673,0.5531566405154459,central
2006,3,89657163,11655414,16179063.416666666,6406654.686511673,-0.706086036787746,central
2007,3,132175621,16929914,16179063.416666666,6406654.686511673,0.11719854121592446,central
2008,3,172721579,21626432,16179063.416666666,6406654.686511673,0.8502672377211178,central
2009,3,167045325,21902934,16179063.416666666,6406654.686511673,0.8934257991747476,central
2010,3,128197729,16879134,16179063.416666666,6406654.686511673,0.10927240776800971,central
2011,3,53751321,7221583,16179063.416666666,6406654.686511673,-1.3981525234262124,central
2012,3,89165213,11479172,16179063.416666666,6406654.686511673,-0.7335952453566194,central
2013,3,176965861,21421376,16179063.416666666,6406654.686511673,0.8182605181406607,central
2014,3,78292957,10281338,16179063.416666666,6406654.686511673,-0.9205624003871338,central
2015,3,128898634,16452435,16179063.416666666,6406654.686511673,0.04266994191350442,central
2016,3,123823580,15962965,16179063.416666666,6406654.686511673,-0.03373030500951322,central
2017,3,66876227,8918367,16179063.416666666,6406654.686511673,-1.1333054100688553,central
2018,3,165284175,21157814,16179063.416666666,6406654.686511673,0.7771217315357117,central
2019,3,53960184,7093624,16179063.416666666,6406654.686511673,-1.4181253495361323,central
2020,3,92967664,12327577,16179063.416666666,6406654.686511673,-0.6011696595378301,central
2021,3,98710985,12675627,16179063.416666666,6406654.686511673,-0.5468433352655432,central
2022,3,130433276,15887901,16179063.416666666,6406654.686511673,-0.045446872184272444,central
2023,3,25054855,3304851,16179063.416666666,6406654.686511673,-2.009506216055556,central
2024,3,47302148,6106123,16179063.416666666,6406654.686511673,-1.572262110188934,central
1990,3,47439724,6172236,6103496.75,5219630.488746382,0.013169370925432952,n_islands
1991,3,71098645,9698334,6103496.75,5219630.488746382,0.6887148923186295,n_islands
1992,3,14337263,1943513,6103496.75,5219630.488746382,-0.7969881697505217,n_islands
1993,3,33074544,4424601,6103496.75,5219630.488746382,-0.32165030716632714,n_islands
1994,3,34809713,4603253,6103496.75,5219630.488746382,-0.28742336325043555,n_islands
1995,3,7508054,1021318,6103496.75,5219630.488746382,-0.9736663851890032,n_islands
1996,3,4372585,593353,6103496.75,5219630.488746382,-1.0556578213496088,n_islands
1997,3,11028078,1515854,6103496.75,5219630.488746382,-0.8789209810715607,n_islands
1998,3,18581248,2448665,6103496.75,5219630.488746382,-0.7002089051858907,n_islands
1999,3,38964235,5248259,6103496.75,5219630.488746382,-0.163850247990525,n_islands
2000,3,9420238,1288832,6103496.75,5219630.488746382,-0.922414864496731,n_islands
2001,3,13871242,1867333,6103496.75,5219630.488746382,-0.8115830726204174,n_islands
2002,3,34924843,4657972,6103496.75,5219630.488746382,-0.2769400541123701,n_islands
2003,3,129930602,16243280,6103496.75,5219630.488746382,1.9426247263789183,n_islands
2004,3,131795396,17394890,6103496.75,5219630.488746382,2.1632552868147368,n_islands
2005,3,136394312,18227360,6103496.75,5219630.488746382,2.3227435881025045,n_islands
2006,3,26713606,3619146,6103496.75,5219630.488746382,-0.4759629547256851,n_islands
2007,3,67332689,8668724,6103496.75,5219630.488746382,0.49145763393226327,n_islands
2008,3,83500851,11020227,6103496.75,5219630.488746382,0.9419690264666358,n_islands
2009,3,15243100,2052341,6103496.75,5219630.488746382,-0.776138417984638,n_islands
2010,3,70255456,9366528,6103496.75,5219630.488746382,0.625146024615182,n_islands
2011,3,44371535,5807006,6103496.75,5219630.488746382,-0.05680301520179243,n_islands
2012,3,15860545,2190246,6103496.75,5219630.488746382,-0.7497179653688205,n_islands
2013,3,47023780,6410651,6103496.75,5219630.488746382,0.05884597591002469,n_islands
2014,3,12763572,1723418,6103496.75,5219630.488746382,-0.8391549477388349,n_islands
2015,3,29241222,3894911,6103496.75,5219630.488746382,-0.4231306707939864,n_islands
2016,3,21410570,2908661,6103496.75,5219630.488746382,-0.6120808277306456,n_islands
2017,3,34414954,4315559,6103496.75,5219630.488746382,-0.3425410580030188,n_islands
2018,3,19251068,2558943,6103496.75,5219630.488746382,-0.679081355977616,n_islands
2019,3,9367519,1166212,6103496.75,5219630.488746382,-0.9459069489008609,n_islands
2020,3,17574626,2360685,6103496.75,5219630.488746382,-0.7170645044835204,n_islands
2021,3,8699235,1168861,6103496.75,5219630.488746382,-0.945399441711279,n_islands
2022,3,11730655,1515117,6103496.75,5219630.488746382,-0.8790621788060725,n_islands
2023,3,8942136,1148458,6103496.75,5219630.488746382,-0.9493083391023853,n_islands
2024,3,16860846,2141982,6103496.75,5219630.488746382,-0.7589645969271384,n_islands
